Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
MALMSTROM_AFB|ELKHORN_DFAC,MALMSTROM_AFB,Elkhorn DFAC,,341 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,,Mr. Greg Featherstone,FALSE,105,Mission Feeding QRG,,,TRUE
MALMSTROM_AFB|MAFFO,MALMSTROM_AFB,MAFFO,MAFFO,341 FSS,,MAFFO/MAF,,Aramark,Sysco,,TSgt Marc Miller-Nelson,FALSE,107,Mission Feeding QRG,,,TRUE
MAXWELL_AFB|OTS,MAXWELL_AFB,OTS,,42 FSS,,Legacy/APF,Legacy - RSA (NonFood 2.0 Test),Full Food Service,US Foods,"River Front–5, OTS–4...",MSgt Chermara Walley,TRUE,109,Mission Feeding QRG,,,TRUE
MAXWELL_AFB|RIVER_FRONT,MAXWELL_AFB,River Front,,42 FSS,,Legacy/APF,Legacy - RSA (NonFood 2.0 Test),Full Food Service,US Foods,"River Front–5, OTS–4...",MSgt Chermara Walley,TRUE,112,Mission Feeding QRG,,,TRUE
JBL_MCCHORD|OLYMPIC,JBL_MCCHORD,Olympic,,627 FSS,,Legacy/APF,Legacy - SB,Sysco,Olympic – 4,0,TSgt Amy Sherwood,TRUE,115,Mission Feeding QRG,,,TRUE
MCCONNELL_AFB|CHISHOLM_DFAC,MCCONNELL_AFB,Chisholm DFAC,,22 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,,Ms. Treva Sahadat,FALSE,116,Mission Feeding QRG,,,TRUE
JB_MCGUIRE|HALVORSEN_HALL_DFAC,JB_MCGUIRE,Halvorsen Hall DFAC,,87 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Renzi FoodService,,Mr. Tyrone Merriweather,FALSE,117,Mission Feeding QRG,,,TRUE
JB_MCGUIRE|EXTENDED_EATERY,JB_MCGUIRE,Extended Eatery,,87 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Renzi FoodService,,Mr. Tyrone Merriweather,FALSE,118,Mission Feeding QRG,,,TRUE
MILDENHALL_AB|GATEWAY,MILDENHALL_AB,Gateway,,100 FSS,,Legacy/APF,Legacy - LN,Mess Attendant,TWI,1 (3 inop),TSgt Brent Smith,TRUE,119,Mission Feeding QRG,,,TRUE
MINOT_AFB|DAKOTA_INN_DFAC,MINOT_AFB,Dakota Inn DFAC,,5 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Greg Featherstone,FALSE,120,Mission Feeding QRG,,,TRUE
MINOT_AFB|MAFFO,MINOT_AFB,MAFFO,MAFFO,5 FSS,,MAFFO/MAF,,Sodexo,US Foods,,TSgt Marc Miller-Nelson,FALSE,122,Mission Feeding QRG,,,TRUE
MISAWA_AB|FALCON_FEEDER,MISAWA_AB,Falcon Feeder,,35 FSS,,Legacy/APF,Legacy - LN (NonFood 2.0 Test),Mess Attendant,Coastal Pacific,3 (1 inop),MSgt Kellie Jones,TRUE,124,Mission Feeding QRG,,,TRUE
