Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
IZMIR_AB|NO_DFAC,IZMIR_AB,NO DFAC,,N/A,,,,,,,,FALSE,253,Mission Feeding QRG,,,TRUE
LAJES_FIELD|NO_DFAC,LAJES_FIELD,NO DFAC,,N/A,,,,,,,,FALSE,254,Mission Feeding QRG,,,TRUE
LAUGHLIN_AFB|NO_DFAC,LAUGHLIN_AFB,NO DFAC,,N/A,,,,,,,,FALSE,255,Mission Feeding QRG,,,TRUE
LOS_ANGELES_AFB|NO_DFAC,LOS_ANGELES_AFB,NO DFAC,,N/A,,,,,,,,FALSE,256,Mission Feeding QRG,,,TRUE
NEW_BOSTON_SFS|NO_DFAC,NEW_BOSTON_SFS,NO DFAC,,N/A,,,,,,,,FALSE,257,Mission Feeding QRG,,,TRUE
RAF_FYLINGDALES_SFS|NO_DFAC,RAF_FYLINGDALES_SFS,NO DFAC,,N/A,,,,,,,,FALSE,258,Mission Feeding QRG,,,TRUE
RAF_MOLESWORTH|NO_DFAC,RAF_MOLESWORTH,NO DFAC,,N/A,,,,,,,,FALSE,259,Mission Feeding QRG,,,TRUE
VANCE_AFB|NO_DFAC,VANCE_AFB,NO DFAC,,N/A,,,,,,,,FALSE,260,Mission Feeding QRG,,,TRUE
PITUFFIK_SB|NO_DFAC,PITUFFIK_SB,NO DFAC,,N/A,,,,,,,,FALSE,261,Mission Feeding QRG,,,TRUE
JBAB_ANACOSTIA|NO_DFAC,JBAB_ANACOSTIA,NO DFAC,,N/A,,,,,,,,FALSE,262,Mission Feeding QRG,,,TRUE
