Issue_ID,Issue_Type,Source_Row,Installation,Facility,Detail
DQ-0083,Exact duplicate row,181,SHEPPARD AFB,Sagebrush,Byte-identical to an earlier row. Excluded from the registry.
DQ-0084,Exact duplicate row,182,SHEPPARD AFB,Sagebrush,Byte-identical to an earlier row. Excluded from the registry.
DQ-0085,Exact duplicate row,183,SHEPPARD AFB,Sagebrush,Byte-identical to an earlier row. Excluded from the registry.
DQ-0086,Exact duplicate row,185,SHEPPARD AFB,Tumbleweed,Byte-identical to an earlier row. Excluded from the registry.
DQ-0087,Exact duplicate row,186,SHEPPARD AFB,Tumbleweed,Byte-identical to an earlier row. Excluded from the registry.
DQ-0088,Exact duplicate row,187,SHEPPARD AFB,Tumbleweed,Byte-identical to an earlier row. Excluded from the registry.
DQ-0089,Exact duplicate row,188,SHEPPARD AFB,Tumbleweed,Byte-identical to an earlier row. Excluded from the registry.
DQ-0090,Exact duplicate row,190,SPANGDAHLEM AB,Mosel Inn,Byte-identical to an earlier row. Excluded from the registry.
DQ-0091,Exact duplicate row,192,SPANGDAHLEM AB,FK,Byte-identical to an earlier row. Excluded from the registry.
DQ-0092,Exact duplicate row,195,TRAVIS AFB,Sierra Inn DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0093,Exact duplicate row,197,TRAVIS AFB,Knucklbuster,Byte-identical to an earlier row. Excluded from the registry.
DQ-0094,Exact duplicate row,199,TYNDALL AFB,Berg Liles,Byte-identical to an earlier row. Excluded from the registry.
DQ-0095,Exact duplicate row,201,TYNDALL AFB,Raptor Quick Turn,Byte-identical to an earlier row. Excluded from the registry.
DQ-0096,Exact duplicate row,203,TYNDALL AFB,Silver Flag,Byte-identical to an earlier row. Excluded from the registry.
DQ-0097,Exact duplicate row,206,VANDENBERG,Beachcombers DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0098,Exact duplicate row,208,VANDENBERG,Breakers DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0099,Exact duplicate row,211,WHITEMAN AFB,Ozark Inn,Byte-identical to an earlier row. Excluded from the registry.
DQ-0100,Exact duplicate row,213,WHITEMAN AFB,Touch & Go,Byte-identical to an earlier row. Excluded from the registry.
DQ-0101,Exact duplicate row,215,WRIGHT PATTERSON AFB,Pitsenbarger,Byte-identical to an earlier row. Excluded from the registry.
DQ-0102,Exact duplicate row,216,WRIGHT PATTERSON AFB,Pitsenbarger,Byte-identical to an earlier row. Excluded from the registry.
DQ-0103,Exact duplicate row,218,WRIGHT PATTERSON AFB,HPW Dining Facility,Byte-identical to an earlier row. Excluded from the registry.
DQ-0104,Exact duplicate row,219,WRIGHT PATTERSON AFB,HPW Dining Facility,Byte-identical to an earlier row. Excluded from the registry.
DQ-0105,Exact duplicate row,238,AL JABER AB,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0106,Exact duplicate row,240,AB101 NIAMEY,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0107,Exact duplicate row,242,AB201 AGADEZ,DFAC,Byte-identical to an earlier row. Excluded from the registry.
DQ-0108,Missing portfolio,243,ARNOLD AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0109,Missing feeding type,243,ARNOLD AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0110,Missing portfolio,244,BOLLING AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0111,Missing feeding type,244,BOLLING AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0112,Missing portfolio,245,BUCKLEY SFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0113,Missing feeding type,245,BUCKLEY SFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0114,Missing portfolio,246,CAPE CANAVERAL SFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0115,Missing feeding type,246,CAPE CANAVERAL SFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0116,Missing portfolio,247,CAPE COD SFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0117,Missing feeding type,247,CAPE COD SFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0118,Missing portfolio,248,CAVALIER SFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0119,Missing feeding type,248,CAVALIER SFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0120,Missing portfolio,249,CHEYENNE MOUNTAIN SFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0121,Missing feeding type,249,CHEYENNE MOUNTAIN SFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0122,Missing portfolio,250,COLUMBUS AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0123,Missing feeding type,250,COLUMBUS AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0124,Missing portfolio,251,EARECKSON AFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0125,Missing feeding type,251,EARECKSON AFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0126,Missing portfolio,252,HANSCOM AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0127,Missing feeding type,252,HANSCOM AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0128,Missing portfolio,253,IZMIR AB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0129,Missing feeding type,253,IZMIR AB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0130,Missing portfolio,254,LAJES FIELD,NO DFAC,Portfolio blank. Left NULL — do not assign.
