INSTALLATION,LOCATION,FACILITY NAME,PORTFOLIO,MAJCOM,DESIGNATION,UNIT,POC,FEEDING TYPE,PROGRAM TYPE,CONTRACT TYPE,PRIMARY PV,POS TERMINALS
TYNDALL AFB,FLORIDA (FL),Berg Liles,PORTFOLIO 4,ACC,N/A,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,Berg-Liles – 2
TYNDALL AFB,FLORIDA (FL),Berg Liles,PORTFOLIO 4,ACC,N/A,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,Berg-Liles – 2
TYNDALL AFB,FLORIDA (FL),Raptor Quick Turn,PORTFOLIO 4,ACC,N/A,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,N/A
TYNDALL AFB,FLORIDA (FL),Raptor Quick Turn,PORTFOLIO 4,ACC,N/A,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,N/A
TYNDALL AFB,FLORIDA (FL),Silver Flag,PORTFOLIO 4,ACC,SILVER FLAG,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,Silver Flag – N/A
TYNDALL AFB,FLORIDA (FL),Silver Flag,PORTFOLIO 4,ACC,SILVER FLAG,325 FSS,MSgt Chermara Walley,Legacy,Legacy - SB,Mess Attendant,Sysco,Silver Flag – N/A
USAF ACADEMY,COLORADO (CO),High Country Inn,PORTFOLIO 3,USAFA,N/A,10 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Shamrock,High Country – 4
VANDENBERG,CALIFORNIA (CA),Beachcombers DFAC,PORTFOLIO 1,USSF,N/A,30 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
VANDENBERG,CALIFORNIA (CA),Beachcombers DFAC,PORTFOLIO 1,USSF,N/A,30 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
VANDENBERG,CALIFORNIA (CA),Breakers DFAC,PORTFOLIO 1,USSF,N/A,30 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
VANDENBERG,CALIFORNIA (CA),Breakers DFAC,PORTFOLIO 1,USSF,N/A,30 FSS,Mr. Randy Spaulding,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,N/A
VOLKEL AB,NETHERLANDS,Eagle's Perch,PORTFOLIO 4,USAFE,N/A,86 FSS,MSgt Chermara Walley,Legacy,Legacy - LN - No ESM - No Dorms,Local National Support,TWI,3
WHITEMAN AFB,MISSOURI (MO),Ozark Inn,PORTFOLIO 3,AFGSC,N/A,509 FSS,TSgt Marc Miller-Nelson,Legacy,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1
WHITEMAN AFB,MISSOURI (MO),Ozark Inn,PORTFOLIO 3,AFGSC,N/A,509 FSS,TSgt Marc Miller-Nelson,Legacy,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1
WHITEMAN AFB,MISSOURI (MO),Touch & Go,PORTFOLIO 3,AFGSC,N/A,509 FSS,TSgt Marc Miller-Nelson,Legacy,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1
WHITEMAN AFB,MISSOURI (MO),Touch & Go,PORTFOLIO 3,AFGSC,N/A,509 FSS,TSgt Marc Miller-Nelson,Legacy,Legacy - SB,Mess Attendant,US Foods,DFAC – 3 FK-1
WRIGHT PATTERSON AFB,OHIO (OH),Pitsenbarger,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
WRIGHT PATTERSON AFB,OHIO (OH),Pitsenbarger,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
WRIGHT PATTERSON AFB,OHIO (OH),Pitsenbarger,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
WRIGHT PATTERSON AFB,OHIO (OH),HPW Dining Facility,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
WRIGHT PATTERSON AFB,OHIO (OH),HPW Dining Facility,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
WRIGHT PATTERSON AFB,OHIO (OH),HPW Dining Facility,PORTFOLIO 3,AFMC,N/A,88 FSS,TSgt Emilee Hinson,Legacy,Legacy - RSA,Full Food Service,Sysco,Pitsenbarger – 2 HPW-1
YOKOTA AB,JAPAN,Samurai Café,PORTFOLIO 1,PACAF,N/A,374 FSS,TSgt Annette Hartman,Legacy,Legacy - LN,Mess Attendant,Coastal Pacific,3
AL DHAFRA AB (ADAB),UNITED ARAB EMIRATES,Chapman Community Center,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Valiant,N/A
AL UDEID AB (AUAB),QATAR,Indy,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,BPC CAC,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
