INSTALLATION,LOCATION,FACILITY NAME,PORTFOLIO,MAJCOM,DESIGNATION,UNIT,POC,FEEDING TYPE,PROGRAM TYPE,CONTRACT TYPE,PRIMARY PV,POS TERMINALS
FT. GREGG ADAMS,VIRGINIA (VA),Schoolhouse,PORTFOLIO 4,AETC,N/A,345 TRS,TSgt Dante Tillman,Legacy,N/A,N/A,US Foods,N/A
FT. MEADE,MARYLAND (MD),Six Hats,PORTFOLIO 4,ACC,N/A,707 FSS,MSgt Chermara Walley,Legacy,Legacy - AB1 (No NAFs),Full Food Service,US Foods,Six Hats – 3 (1 inop)
GHEDI AB,ITALY,DFAC,PORTFOLIO 4,USAFE,N/A,704 MUNS,MSgt Chermara Walley,Legacy,Legacy - LN - No ESM - No Dorms,Local National Support,Ebrex,1
GOODFELLOW AFB,TEXAS (TX),Cressman DFAC,PORTFOLIO 2,AETC,N/A,17 FSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
GOODFELLOW AFB,TEXAS (TX),Cressman DFAC,PORTFOLIO 2,AETC,N/A,17 FSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
GOODFELLOW AFB,TEXAS (TX),Western Winds DFAC,PORTFOLIO 2,AETC,N/A,17 FSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
GOODFELLOW AFB,TEXAS (TX),Western Winds DFAC,PORTFOLIO 2,AETC,N/A,17 FSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,N/A
GRAND FORKS AFB,NORTH DAKOTA (ND),Airey DFAC,PORTFOLIO 3,ACC,N/A,319 FSS,Ms. Treva Sahadat,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,N/A
"HICKAM, JBP",HAWAII (HI),Hale Aina,PORTFOLIO 1,PACAF,N/A,647 FSS,MSgt Kellie Jones,Legacy,Legacy - SB,Mess Attendant,Y. Hata & Company,2 (1 inop)
HILL AFB,UTAH (UT),Hill Crest,PORTFOLIO 3,AFMC,N/A,75 FSS,TSgt Emilee Hinson,Legacy,Legacy - BOS,Full Food Service,Sysco,Hillcrest – 4
HOLLOMAN AFB,NEW MEXICO (NM),Shifting Sands,PORTFOLIO 2,ACC,N/A,49 FSS,Ms. Stephanie Contreras,Food 2.0,Food 2.0 - In Development,Sodexo,Labatt,N/A
HURLBURT FIELD,FLORIDA (FL),Riptide,PORTFOLIO 4,AFSOC,N/A,1 SOFSS,TSgt Brent Smith,Legacy,Legacy - SB (NonFood 2.0 Test),Mess Attendant,Sysco,Reef – 2 Riptide – 2
HURLBURT FIELD,FLORIDA (FL),Riptide,PORTFOLIO 4,AFSOC,N/A,1 SOFSS,TSgt Brent Smith,Legacy,Legacy - SB (NonFood 2.0 Test),Mess Attendant,Sysco,Reef – 2 Riptide – 2
INCIRLIK AB,TURKEY,Sultan's Inn,PORTFOLIO 4,USAFE,N/A,39 FSS,TSgt Brent Smith,Legacy,Legacy - BOS (NonFood 2.0 Test),Full Food Service,Ebrex,3 (1 inop)
INCIRLIK AB,TURKEY,Sultan's Inn,PORTFOLIO 4,USAFE,N/A,39 FSS,TSgt Brent Smith,Legacy,Legacy - BOS (NonFood 2.0 Test),Full Food Service,Ebrex,3 (1 inop)
INCIRLIK AB,TURKEY,Sultan's Inn,PORTFOLIO 4,USAFE,N/A,39 FSS,TSgt Brent Smith,Legacy,Legacy - BOS (NonFood 2.0 Test),Full Food Service,Ebrex,3 (1 inop)
JBSA LACKLAND,TEXAS (TX),Live Oak,PORTFOLIO 2,AETC,N/A,502 FSS,TSgt Aqueriya Stroud,Legacy,Legacy - RSA,Full Food Service,Labatte,Live Oak-4
