EOM_Item_ID,EOM_Item_Key,Portfolio_ID,Installation_ID,Facility_ID,Contract_ID,Reporting_Period,Requirement_ID,Requirement_Scope,Authority_Status,Required_Flag,Nominal_Due_Date,Effective_Due_Date,Nominal_Final_Call_Date,Effective_Final_Call_Date,Due_Date_Adjusted,Initial_Submitted_DateTime,Initial_Submission_On_Time,Acceptable_Evidence_DateTime,Final_Evidence_On_Time,Current_Submission_ID,Received_Flag,Days_Late,Last_Reconciled_DateTime,Exception_Flag,Correction_Due,Waived_Flag,Waiver_Reason,Final_Status,Status_Code,Action_Owner,Action_Required
2026-08|FT_MEADE|SIX_HATS|REQ-005,FT_MEADE|FT_MEADE|SIX_HATS|2026-08|GPC,PORTFOLIO 4,FT_MEADE,FT_MEADE|SIX_HATS,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|GHEDI_AB|DFAC|REQ-001,GHEDI_AB|GHEDI_AB|DFAC|2026-08|1119,PORTFOLIO 4,GHEDI_AB,GHEDI_AB|DFAC,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|GHEDI_AB|DFAC|REQ-003,GHEDI_AB|GHEDI_AB|DFAC|2026-08|SF1080,PORTFOLIO 4,GHEDI_AB,GHEDI_AB|DFAC,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|GHEDI_AB|DFAC|REQ-004,GHEDI_AB|GHEDI_AB|DFAC|2026-08|SAIIT,PORTFOLIO 4,GHEDI_AB,GHEDI_AB|DFAC,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|GHEDI_AB|DFAC|REQ-005,GHEDI_AB|GHEDI_AB|DFAC|2026-08|GPC,PORTFOLIO 4,GHEDI_AB,GHEDI_AB|DFAC,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HILL_AFB|HILL_CREST|REQ-001,HILL_AFB|HILL_AFB|HILL_CREST|2026-08|1119,PORTFOLIO 3,HILL_AFB,HILL_AFB|HILL_CREST,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HILL_AFB|HILL_CREST|REQ-003,HILL_AFB|HILL_AFB|HILL_CREST|2026-08|SF1080,PORTFOLIO 3,HILL_AFB,HILL_AFB|HILL_CREST,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HILL_AFB|HILL_CREST|REQ-004,HILL_AFB|HILL_AFB|HILL_CREST|2026-08|SAIIT,PORTFOLIO 3,HILL_AFB,HILL_AFB|HILL_CREST,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HILL_AFB|HILL_CREST|REQ-005,HILL_AFB|HILL_AFB|HILL_CREST|2026-08|GPC,PORTFOLIO 3,HILL_AFB,HILL_AFB|HILL_CREST,,2026-08,REQ-005,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HURLBURT_FIELD|RIPTIDE|REQ-001,HURLBURT_FIELD|HURLBURT_FIELD|RIPTIDE|2026-08|1119,PORTFOLIO 4,HURLBURT_FIELD,HURLBURT_FIELD|RIPTIDE,,2026-08,REQ-001,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HURLBURT_FIELD|RIPTIDE|REQ-003,HURLBURT_FIELD|HURLBURT_FIELD|RIPTIDE|2026-08|SF1080,PORTFOLIO 4,HURLBURT_FIELD,HURLBURT_FIELD|RIPTIDE,,2026-08,REQ-003,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
2026-08|HURLBURT_FIELD|RIPTIDE|REQ-004,HURLBURT_FIELD|HURLBURT_FIELD|RIPTIDE|2026-08|SAIIT,PORTFOLIO 4,HURLBURT_FIELD,HURLBURT_FIELD|RIPTIDE,,2026-08,REQ-004,Facility,VERIFIED,True,2026-09-05,2026-09-08,2026-09-10,2026-09-10,True,,,,,,False,,,False,,False,,NOT_DUE,4,Facility,False
